cnt,casual,registered
-0.9563117241915176,-0.6627359960641191,-0.9301624851497265
-0.8239983790667221,-0.5613264652160674,-0.8046316929883667
-0.8681028274416539,-0.6221721837248985,-0.8376661119781983
-0.972850892332117,-0.6627359960641191,-0.9499831365436255
-1.0390075648945147,-0.7235817145729503,-1.0094450907253223
-1.0390075648945147,-0.7235817145729503,-1.0094450907253223
-1.0334945088476482,-0.6830179022337295,-1.0160519745232885
-1.0279814528007818,-0.7032998084033398,-1.002838206927356
-1.0004161725664493,-0.7032998084033398,-0.9698037879375244
-0.9673378362852505,-0.5613264652160674,-0.9764106717354907
-0.846050603254188,-0.48019884053762596,-0.8574867633720972
-0.7357894823168585,-0.19625215416308103,-0.8178454605842993
-0.5814239130045972,-0.13540643565424998,-0.6526733656351416
-0.5262933525359325,0.2296678753987364,-0.705528436018872
-0.4601366799735347,-0.013714998636587844,-0.5469632248676807
-0.4380844557860688,0.08769453221146392,-0.5535701086656469
-0.5318064085827989,0.10797643838107428,-0.6724940170290405
-0.6751458658013273,-0.41935312202879493,-0.6724940170290405
-0.8515636593010545,-0.5410445590464571,-0.8442729957761645
-0.8405375472073215,-0.6018902775552881,-0.811238576786333
-0.846050603254188,-0.5004807467072363,-0.8508798795741308
-0.857076715347921,-0.6627359960641191,-0.811238576786333
-0.8901550516291199,-0.5004807467072363,-0.9037349499578613
-0.8295114351135886,-0.41935312202879493,-0.8574867633720972
-0.9507986681446511,-0.6424540898945088,-0.9301624851497265
-0.9507986681446511,-0.7032998084033398,-0.9103418337558277
-0.9949031165195829,-0.7032998084033398,-0.9631969041395582
-1.0114422846601823,-0.6830179022337295,-0.9896244393314233
-1.0279814528007818,-0.6830179022337295,-1.0094450907253223
-1.0334945088476482,-0.7235817145729503,-1.002838206927356
-1.0390075648945147,-0.7235817145729503,-1.0094450907253223
-1.0004161725664493,-0.7235817145729503,-0.9631969041395582
-0.9342595000040517,-0.7032998084033398,-0.8905211823619287
-0.7523286504574579,-0.5816083713856778,-0.7121353198168383
-0.6586066976607279,-0.3990712158591846,-0.6592802494331079
